date,revenue_dynamic,revenue_fixed,avg_util,total_kWh,session_count,avg_session_hrs,gain_pct,pricing_efficiency
2018-04-25,6034.65436,5112.435,0.5103840804412001,340.829,44,8.168219696969697,18.038749832516206,17.705812474877433
2018-04-26,7110.59233,5933.385,0.5700832466569581,395.55899999999997,55,5.793772727272728,19.840400209998172,17.976060031499728
2018-04-27,6857.25515,5659.155,0.6159030022121247,377.277,44,5.881079545454545,21.171007862481243,18.175651179372185
2018-04-28,9710.23164,7369.845,0.8205961632481203,491.323,39,6.8429700854700855,31.75625321835126,19.76343798275269
2018-04-29,5848.02857,4536.825,0.8458091892837143,302.455,28,4.019126984126984,28.90134774870092,19.335202162305137
2018-04-30,6512.619354166667,5719.755191666666,0.5539802916085597,381.3170127777778,48,7.435798611111111,13.861854850976062,17.07927822764641
2018-05-01,7949.6974549999995,6556.414783333334,0.5963586811933851,437.0943188888889,51,6.800294117647058,21.25067918534449,18.187601877801676
2018-05-02,9243.04441,7266.315,0.708465558664273,484.421,57,6.5640448343079925,27.204014827323082,19.08060222409846
2018-05-03,9924.88957,8093.175,0.6430021079813479,539.545,66,6.74753367003367,22.632830378683263,18.39492455680249
2018-05-04,10720.289547580642,8139.720282258058,0.7491766402833256,542.6480188172039,68,6.820212418300653,31.703414562627962,19.755512184394192
2018-05-05,10526.644690000001,8487.15,0.7964727260264527,565.81,43,5.532538759689922,24.03038346205736,18.604557519308607
2018-05-06,4250.17041,3017.175,0.8869568345255744,201.145,23,5.0966425120772945,40.86588978100373,21.12988346715056
2018-05-07,11424.078622844972,8327.482676568246,0.7331365986289833,555.1655117712165,55,6.300727272727273,37.18525833731103,20.577788750596653
2018-05-08,10665.088243055554,8668.847038530464,0.6727903313146203,577.9231359020309,68,6.97311274509804,23.027759004771763,18.454163850715766
2018-05-09,9903.406289336916,7732.414484767021,0.654460069815196,515.4942989844681,62,6.237898745519713,28.076505842344357,19.211475876351656
2018-05-10,10113.588745250889,8337.709350358411,0.6440251395835198,555.8472900238941,64,6.270594618055555,21.299367971085946,18.19490519566289
2018-05-11,9274.653456935439,7468.683024193483,0.6331922912802661,497.9122016128989,64,6.412044270833333,24.180574097090915,18.627086114563635
2018-05-12,10182.3381475,7747.385491666667,0.8335430499635978,516.4923661111111,41,6.629376693766939,31.429346822259536,19.71440202333893
2018-05-13,5099.5509,3808.995,0.8608118887000629,253.933,26,3.938878205128205,33.88179559175059,20.08226933876259
2018-05-14,10221.73157419639,7854.415331541098,0.6938701970198554,523.6276887694065,60,6.134601851851852,30.139942220127118,19.52099133301907
2018-05-15,8989.26086,7875.6,0.603136325366022,525.04,64,6.2394010416666665,14.14064782365788,17.121097173548684
2018-05-16,10186.22889,8391.75,0.5810061475842475,559.45,71,6.721838810641628,21.383845920100104,18.207576888015012
2018-05-17,11434.23934,8938.11,0.6724777858431078,595.874,73,5.960163622526636,27.92681383424459,19.18902207513669
2018-05-18,11326.97312,8975.565,0.6783184826059399,598.371,77,6.044051226551226,26.197884144340772,18.929682621651118
2018-05-19,8481.16903,7481.4,0.6849593769216461,498.76,43,7.7897286821705425,13.363394952816313,17.004509242922445
2018-05-20,7175.02953,5117.595,0.8742335279092872,341.173,38,3.8782309941520468,40.203152652759734,21.03047289791396
2018-05-21,10031.77932,7629.45,0.7310192609162021,508.63,59,6.556563088512242,31.487581935788295,19.723137290368243
2018-05-22,12577.232019178527,9784.119807347603,0.6886981376209487,652.2746538231735,75,7.147129629629629,28.54740402640384,19.282110603960575
2018-05-23,12225.01607,9514.275,0.6690698265230127,634.285,76,6.273611111111111,28.49130459230998,19.273695688846498
2018-05-24,10508.083129999999,8366.52,0.6958109892479961,557.768,78,5.6538212250712245,25.596820780922037,18.839523117138306
2018-05-25,13177.8461,10186.68,0.7382813344465703,679.112,78,5.501403133903135,29.363503123687014,19.404525468553054
2018-05-26,9231.76123,7142.79,0.7416106114200202,476.18600000000004,41,8.496463414634146,29.245872131198038,19.386880819679703
2018-05-27,4386.62517,3174.6749999999997,0.8211169533091972,211.645,20,5.552583333333333,38.17556663280495,20.72633499492074
2018-05-28,3079.62147,2546.0699999999997,0.6919817898466532,169.738,21,5.946613756613757,20.955883773816133,18.143382566072418
